price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
"Rp 1,79 Miliar",https://www.rumah123.com/properti/sleman/hos17166670/,Rumah 2 Lantai Baru  di jalan Palagan Sleman Yogyakarta,"Ngaglik, Sleman",3,3,2,120 m²,110 m²
Rp 170 Juta,https://www.rumah123.com/properti/sleman/hos17166674/,RUMAH BARU DEKAT AL AZHAR DAN UGM,"Jombor, Sleman",3,2,1,102 m²,126 m²
Rp 695 Juta,https://www.rumah123.com/properti/sleman/hos17166621/,RUMAH ASRI DAN SEJUK DI BERBAH SLEMAN DEKAT PASAR WISATA ALAM,"Berbah, Sleman",2,2,1,100 m²,100 m²
Rp 560 Juta,https://www.rumah123.com/properti/sleman/hos17166607/,Rumah Murah 5 Menit Dari Candi Prambanan Tersisa 1 Unit,"Prambanan, Sleman",3,1,1,109 m²,67 m²
Rp 200 Juta,https://www.rumah123.com/properti/sleman/hos17166601/,Rumah Murah Cicilan 1jt Di Moyudan Sleman,"Moyudan, Sleman",2,1,1,60 m²,30 m²
"Rp 1,47 Miliar",https://www.rumah123.com/properti/sleman/hos17166561/,RUMAH 2 LANTAI MANGKU JALAN ASPAL DEPOK MAGUWOHARJO SLEMAN,"Depok, Sleman",5,3,1,125 m²,157 m²
Rp 560 Juta,https://www.rumah123.com/properti/sleman/hos17166576/,Tersisa 1 Unit Rumah Murah 5 Menit Dari Candi Prambanan,"Prambanan, Sleman",3,1,1,109 m²,67 m²
"Rp 2,1 Miliar",https://www.rumah123.com/properti/sleman/hos17166543/,Kost Putri + Rumah Induk Dekat Kampus UMY,"Gamping, Sleman",11,11,2,206 m²,290 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17166510/,2 Rumah dengan Tanah luas Dekat Pasar Jangkang,"Ngaglik, Sleman",5,4,2,300 m²,200 m²
"Rp 2,4 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17139178/,Rumah Bonus Tanah Bangun Kos Dekat Kampus Dan Tempat Wisata,"Kaliurang, Yogyakarta",3,3,1,403 m²,220 m²
Rp 875 Juta,https://www.rumah123.com/properti/sleman/hos17166476/,Rumah baru cluster Jalan kaliurang km 13,"Ngaglik, Sleman",3,2,1,145 m²,85 m²
Rp 570 Juta,https://www.rumah123.com/properti/sleman/hos17166436/,Rumah minimalis timur pasar gentan jakal,"Ngaglik, Sleman",2,1,1,83 m²,50 m²
Rp 300 Juta,https://www.rumah123.com/properti/bantul/hos16317386/,Miliki Hunian Smart Home Dengan Harga Murah Akses Mudah Ke Yia,"Sedayu, Bantul",2,1,1,60 m²,30 m²
Rp 750 Juta,https://www.rumah123.com/properti/sleman/hos17113067/,Rumah Luas dalam Perumahan 12 menit ke Ringroad Maguwoharho,"Ngemplak, Sleman",4,2,1,140 m²,90 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17166400/,Rumah Cluster Belakang Taman Palagan Asri,"Ngaglik, Sleman",4,4,2,166 m²,200 m²
Rp 745 Juta,https://www.rumah123.com/properti/bantul/hos17166375/,Dijual Rumah Murah  Bangunan Kokoh kontruksi bagus dak beton,"Piyungan, Bantul",3,1,3,209 m²,180 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/sleman/hos17166329/,Rumah Furnished 2 Lantai dekat SD Model,"Depok, Sleman",4,3,2,169 m²,125 m²
"Rp 4,2 Miliar",https://www.rumah123.com/properti/sleman/hos17166257/,Rukost Baru Renovasi Siap Pakai di Babadan Banguntapan Bantul Jogjakarta,"Ngemplak, Sleman",4,3,2,480 m²,300 m²
Rp 455 Juta,https://www.rumah123.com/properti/yogyakarta/hos17166296/,Rumah Baru 400 Jutaan Tamanan Banguntapan,"Umbulharjo, Yogyakarta",2,1,1,61 m²,45 m²
"Rp 1,1 Miliar",https://www.rumah123.com/properti/sleman/hos17166238/,Rumah Cantik terawat Utara Stadion Maguwo,"Ngaglik, Sleman",4,3,2,171 m²,150 m²
Rp 850 Juta,https://www.rumah123.com/properti/sleman/hos17166237/,"Rumah Murah Siap Huni, Free Kitchen Set Di Godean, Sleman","Godean, Sleman",3,2,1,135 m²,80 m²
"Rp 3,5 Miliar",https://www.rumah123.com/properti/sleman/hos17166212/,Rumah besar strategis Condongcatur,"Depok, Sleman",7,7,2,349 m²,400 m²
"Rp 1,3 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17166150/,Jual Rumah di Wirosaban Yogyakarta Dekat UAD,"Umbulharjo, Yogyakarta",3,2,1,134 m²,200 m²
"Rp 4,8 Miliar",https://www.rumah123.com/properti/sleman/hos17166153/,Kost Eksklusif 13 kamar dekat Pakuwon Mall,"Ngaglik, Sleman",13,15,4,235 m²,465 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17166124/,Rumah baru Desain Modern Jalan Kaliurang KM 12,"Ngaglik, Sleman",4,3,2,135 m²,165 m²
"Rp 5,5 Miliar",https://www.rumah123.com/properti/sleman/hos17166111/,RUMAH DIJUAL CEPAT DI CATUR TUNGGAL DEPOK SLEMAN,"Depok, Sleman",3,2,,275 m²,275 m²
"Rp 4,75 Miliar",https://www.rumah123.com/properti/sleman/hos17166095/,Rumah Mewah Full Furnish Kolam Renang Di JL. Palagan KM. 7,"Mlati, Sleman",5,6,2,267 m²,340 m²
Rp 2 Miliar,https://www.rumah123.com/properti/sleman/hos17166074/,Kost 14 kamar dekat Lottemart Maguwo,"Depok, Sleman",14,14,2,196 m²,230 m²
"Rp 1,4 Miliar",https://www.rumah123.com/properti/sleman/hos17166035/,RUMAH BARU MAGUWOHARJO DEPOK SLEMAN DEKAT LOTTTE MART BANDARA,"Depok, Sleman",3,2,2,205 m²,150 m²
Rp 765 Juta,https://www.rumah123.com/properti/sleman/hos17166034/,Homestay Dalam Perumahan Sidoarum,"Gamping, Sleman",3,2,2,109 m²,80 m²
"Rp 2,2 Miliar",https://www.rumah123.com/properti/sleman/hos17166029/,"Dijual Rumah Mewah Di Sleman Dekat Upn, Fasilitas Lengkap","Condong Catur, Sleman",3,3,1,139 m²,125 m²
"Rp 3,1 Miliar",https://www.rumah123.com/properti/bantul/hos17166011/,RUMAH DIJUAL CEPAT DI PONDOK PERMAI KADIPIRO JALAN WATES,"Kasihan, Bantul",5,3,,146 m²,290 m²
"Rp 9,9 Miliar",https://www.rumah123.com/properti/sleman/hos17166003/,Villa Joglo + Kolam renang Pakem,"Ngaglik, Sleman",4,4,5,3400 m²,550 m²
"Rp 7,5 Miliar",https://www.rumah123.com/properti/sleman/hos17165967/,Rumah Joglo + kolam renang dekat pasar Pakem,"Ngaglik, Sleman",8,8,5,1000 m²,350 m²
"Rp 2,5 Miliar",https://www.rumah123.com/properti/bantul/hos17165952/,RUMAH DIJUAL CEPAT DI PERUM LAGUNA SPRING JALAN WONOSARI,"Bantul, Bantul",6,4,,128 m²,130 m²
"Rp 1,95 Miliar",https://www.rumah123.com/properti/sleman/hos17165928/,"Dijual Rumah 2 Lantai Mewah, Lokasi Startegis Dekat Kampus Rs","Depok, Sleman",3,3,1,128 m²,188 m²
Rp 10 Miliar,https://www.rumah123.com/properti/sleman/hos17165925/,Rumah Bagus Di  Jl Sekolah Mataram Dusun Jambon Trihanggo Yogya,"Sleman, Sleman",5,3,,848 m²,427 m²
"Rp 1,08 Miliar",https://www.rumah123.com/properti/sleman/hos17165912/,Rumah Baru Modern Jalan Kaliurang Km 13,"Ngaglik, Sleman",3,2,2,147 m²,85 m²
Rp 969 Juta,https://www.rumah123.com/properti/sleman/hos17165879/,Rumah Baru dalam Perumahan Jakal km 13,"Ngaglik, Sleman",3,3,2,102 m²,100 m²
Rp 25 Miliar,https://www.rumah123.com/properti/sleman/hos17165844/,Investasi Menguntungkan Di Lokasi Strategis Dekat Mall Amplaz,"Depok, Sleman",34,32,10,832 m²,1500 m²
"Rp 5,5 Miliar",https://www.rumah123.com/properti/sleman/hos17165833/,Rumah Baru dengan Private Pool Palagan,"Ngaglik, Sleman",5,6,3,295 m²,400 m²
